date,temp_min,temp_max,temp_moyenne,precipitation_mm,nb_releves
2026-06-01,15.0,26.3,20.7,0.0,24
2026-06-02,17.3,22.7,19.5,5.6,24
2026-06-03,14.3,20.6,17.4,0.0,24
2026-06-04,15.3,20.5,17.4,2.1,24
2026-06-05,12.2,19.3,15.9,0.0,24
2026-06-06,14.0,21.1,16.9,1.7,24
2026-06-07,12.5,23.3,17.9,0.0,24
